customer_id,total_visits,avg_spend,days_since_last_visit
CUST_0001,5,18.36,4
CUST_0002,2,17.96,96
CUST_0003,16,13.23,23
CUST_0004,2,12.13,70
CUST_0005,6,15.51,88
CUST_0006,5,22.75,84
CUST_0007,8,8.8,84
CUST_0008,3,7.66,76
CUST_0009,19,15.82,33
CUST_0010,7,15.25,28
CUST_0011,5,15.87,8
CUST_0012,6,16.22,1
CUST_0013,19,13.88,37
CUST_0014,1,22.45,63
CUST_0015,14,7.0,22
CUST_0016,1,10.86,70
CUST_0017,3,14.48,21
CUST_0018,1,6.78,96
CUST_0019,5,14.12,35
CUST_0020,15,23.31,79
CUST_0021,14,15.1,5
CUST_0022,2,16.15,60
CUST_0023,1,8.7,46
CUST_0024,6,11.92,50
CUST_0025,1,13.12,48
CUST_0026,6,13.41,6
CUST_0027,22,47.41,2
CUST_0028,19,17.79,56
CUST_0029,4,9.44,59
CUST_0030,6,16.23,29
CUST_0031,9,17.49,71
CUST_0032,7,20.7,77
CUST_0033,34,47.9,6
CUST_0034,11,9.92,2
CUST_0035,6,10.95,8
CUST_0036,1,8.71,75
CUST_0037,6,13.83,97
CUST_0038,7,17.33,54
CUST_0039,3,19.94,38
CUST_0040,16,14.62,48
CUST_0041,3,13.4,27
CUST_0042,2,15.76,20
CUST_0043,4,10.82,12
CUST_0044,9,25.45,43
CUST_0045,15,6.96,61
CUST_0046,1,15.92,31
CUST_0047,5,25.12,91
CUST_0048,15,15.03,96
CUST_0049,4,14.05,61
CUST_0050,12,13.21,74
CUST_0051,7,14.1,67
CUST_0052,3,21.86,91
CUST_0053,16,3.94,35
CUST_0054,19,22.67,95
CUST_0055,2,7.88,15
CUST_0056,4,13.67,16
CUST_0057,2,12.85,13
CUST_0058,3,17.94,35
CUST_0059,9,7.01,75
CUST_0060,12,17.31,59
CUST_0061,1,25.12,21
CUST_0062,37,20.18,5
CUST_0063,3,15.95,75
CUST_0064,12,11.69,30
CUST_0065,1,17.13,48
CUST_0066,2,15.1,35
CUST_0067,5,11.79,86
CUST_0068,4,17.44,38
CUST_0069,7,24.02,31
CUST_0070,12,14.05,78
CUST_0071,1,18.6,24
CUST_0072,2,8.53,49
CUST_0073,2,10.22,96
CUST_0074,13,17.36,32
CUST_0075,9,22.42,55
CUST_0076,12,16.78,79
