date,hour,day_of_week,is_weekend,visitors
2025-04-03 13:38:29.003994,0,3,0,3
2025-04-03 13:38:29.003994,1,3,0,4
2025-04-03 13:38:29.003994,2,3,0,2
2025-04-03 13:38:29.003994,3,3,0,4
2025-04-03 13:38:29.003994,4,3,0,4
2025-04-03 13:38:29.003994,5,3,0,1
2025-04-03 13:38:29.003994,6,3,0,2
2025-04-03 13:38:29.003994,7,3,0,20
2025-04-03 13:38:29.003994,8,3,0,13
2025-04-03 13:38:29.003994,9,3,0,11
2025-04-03 13:38:29.003994,10,3,0,3
2025-04-03 13:38:29.003994,11,3,0,47
2025-04-03 13:38:29.003994,12,3,0,20
2025-04-03 13:38:29.003994,13,3,0,45
2025-04-03 13:38:29.003994,14,3,0,4
2025-04-03 13:38:29.003994,15,3,0,3
2025-04-03 13:38:29.003994,16,3,0,0
2025-04-03 13:38:29.003994,17,3,0,56
2025-04-03 13:38:29.003994,18,3,0,71
2025-04-03 13:38:29.003994,19,3,0,45
2025-04-03 13:38:29.003994,20,3,0,73
2025-04-03 13:38:29.003994,21,3,0,3
2025-04-03 13:38:29.003994,22,3,0,0
2025-04-03 13:38:29.003994,23,3,0,2
2025-04-04 13:38:29.003994,0,4,0,4
2025-04-04 13:38:29.003994,1,4,0,2
2025-04-04 13:38:29.003994,2,4,0,4
2025-04-04 13:38:29.003994,3,4,0,0
2025-04-04 13:38:29.003994,4,4,0,1
2025-04-04 13:38:29.003994,5,4,0,3
2025-04-04 13:38:29.003994,6,4,0,0
2025-04-04 13:38:29.003994,7,4,0,23
2025-04-04 13:38:29.003994,8,4,0,18
2025-04-04 13:38:29.003994,9,4,0,11
2025-04-04 13:38:29.003994,10,4,0,3
2025-04-04 13:38:29.003994,11,4,0,34
2025-04-04 13:38:29.003994,12,4,0,26
2025-04-04 13:38:29.003994,13,4,0,48
2025-04-04 13:38:29.003994,14,4,0,2
2025-04-04 13:38:29.003994,15,4,0,0
2025-04-04 13:38:29.003994,16,4,0,3
2025-04-04 13:38:29.003994,17,4,0,69
2025-04-04 13:38:29.003994,18,4,0,31
2025-04-04 13:38:29.003994,19,4,0,33
