date,weekday,month,is_weekend,is_holiday,weather_score,promo_flag,traffic_count,avg_ticket,total_sales,total_expenses
2024-04-02,1,4,0,0,0.594,0,106,4.36,530.56,205.93
2024-04-03,2,4,0,0,0.91,1,142,5.17,820.3,316.3
2024-04-04,3,4,0,0,0.738,0,125,3.79,547.15,207.39
2024-04-05,4,4,0,0,0.585,1,153,4.23,741.91,257.52
2024-04-06,5,4,1,0,0.837,1,191,6.06,1417.8,593.75
2024-04-07,6,4,1,0,0.879,0,128,3.84,554.0,194.3
2024-04-08,0,4,0,0,0.74,0,108,3.37,385.51,121.46
2024-04-09,1,4,0,0,0.489,0,109,4.41,513.43,164.59
2024-04-10,2,4,0,0,0.507,0,102,4.32,520.43,188.02
2024-04-11,3,4,0,0,0.757,0,131,5.05,726.7,241.08
2024-04-12,4,4,0,0,0.877,0,137,3.74,612.22,192.97
2024-04-13,5,4,1,0,0.363,1,163,5.53,1024.65,444.41
2024-04-14,6,4,1,1,0.792,0,176,3.65,762.75,258.68
2024-04-15,0,4,0,1,0.863,0,147,4.52,781.92,319.62
2024-04-16,1,4,0,1,0.518,0,133,4.44,639.7,206.02
2024-04-17,2,4,0,0,0.615,0,113,3.59,432.66,143.63
2024-04-18,3,4,0,0,0.841,0,127,4.26,636.37,232.27
2024-04-19,4,4,0,0,0.599,0,124,5.05,678.86,229.34
2024-04-20,5,4,1,0,0.252,0,140,4.14,643.05,251.04
2024-04-21,6,4,1,0,0.891,0,145,5.02,857.75,263.17
2024-04-22,0,4,0,0,0.638,0,103,4.18,471.15,137.64
2024-04-23,1,4,0,0,0.619,0,118,3.42,446.66,132.38
2024-04-24,2,4,0,0,0.934,1,129,4.87,743.94,308.17
2024-04-25,3,4,0,0,0.626,1,129,5.22,748.43,318.81
2024-04-26,4,4,0,0,0.51,0,124,4.15,572.93,228.87
2024-04-27,5,4,1,0,0.56,0,139,4.47,683.44,215.09
2024-04-28,6,4,1,0,0.554,0,142,4.24,709.61,223.66
2024-04-29,0,4,0,0,0.688,0,116,4.02,510.49,185.61
2024-04-30,1,4,0,0,0.641,0,111,3.59,465.74,176.43
2024-05-01,2,5,0,0,0.532,0,118,4.56,604.62,206.4
2024-05-02,3,5,0,0,0.585,0,109,4.7,564.79,217.32
2024-05-03,4,5,0,0,0.726,0,138,4.81,759.04,243.38
2024-05-04,5,5,1,0,0.68,0,178,4.69,940.71,376.21
2024-05-05,6,5,1,0,0.506,0,153,3.93,735.11,226.63
2024-05-06,0,5,0,0,0.496,0,112,4.75,637.78,203.56
2024-05-07,1,5,0,0,0.683,0,104,4.38,540.34,215.86
2024-05-08,2,5,0,0,0.351,0,99,3.74,417.21,145.87
2024-05-09,3,5,0,0,1.0,0,146,4.48,761.1,292.11
2024-05-10,4,5,0,0,0.872,1,181,5.42,1202.35,427.88
2024-05-11,5,5,1,0,0.903,1,203,4.81,1206.7,480.43
2024-05-12,6,5,1,0,0.472,0,138,4.57,748.63,236.76
2024-05-13,0,5,0,0,0.571,0,110,3.75,453.8,169.13
2024-05-14,1,5,0,0,0.799,0,119,4.43,576.75,184.08
2024-05-15,2,5,0,0,0.618,0,124,3.36,467.38,143.65
2024-05-16,3,5,0,0,0.761,0,114,5.07,612.33,232.61
2024-05-17,4,5,0,0,0.599,0,117,2.99,378.04,114.43
2024-05-18,5,5,1,0,0.859,0,170,3.45,670.06,241.06
2024-05-19,6,5,1,0,0.505,0,115,4.29,583.09,175.02
2024-05-20,0,5,0,0,0.492,1,131,5.21,759.61,312.61
2024-05-21,1,5,0,0,0.366,0,98,4.24,437.89,169.53
2024-05-22,2,5,0,0,0.806,0,111,3.9,464.87,150.58
